EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
116489908,GB / Daily Win Dist Odds,Huntingdon,22-11-2014 12:00,2742750,36 - 49 lengths inclusive,0,,3,1,1,1001,1,1001,0,7.92,0
116436315,GB / Hayd 22nd Nov,3m5f Hcap Chs,22-11-2014 12:45,3394546,Wellforth,0,10.893719290718655,10.8464854248232133859416017625601669569,9.64177951304593866092509935492318414339,14,7.8,1000,9.8,4370.3,35312.1,4832.82
116436319,GB / Hayd 22nd Nov,2m Hrd,22-11-2014 13:50,6707882,Hawk High,0,33.38905652750255,31.498608319581715308476176707200037336,24.9036325438480219095465561948334934593,38,21.46,1000,21,1337.02,24120.34,2271.78
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,5099863,Awaywiththegreys,0,134.5034868335747,83.3675575537746650723226464697582065685,61.7797759779056619553576225027636353048,150,42,1000,110,1197.58,6510.26,533.14
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,6794534,Oscar Rock,0,16.01386717075657,13.0699054772639303123529261130454196068,14.1946437296938866301338565714555513491,25,13,1000,13.5,28662.86,92427.22,4589.28
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,7928039,Volnay De Thaix,0,4.3,4.57435639519278444009738600075677167922,5.4090198903394361810184911356172977901,5.8,4.1,1000,1.83,72394.6,452831.06,118983.02
116461918,GB / Ling 22nd Nov,7f Hcap,22-11-2014 14:00,3861916,Rockys Pride,0,5.982526286556823,5.49722069957190562070710505769672157297,6.2724256839663347089026649639211555483,6.8,4.7,1000,4.6,648.02,106096.78,5122.68
116461910,GB / Ling 22nd Nov,1m Sell Stks,22-11-2014 11:50,9003833,Tokomaro,0,5.9,6.89416882817302593279055378174782815883,10.888566042615277068055502313180963702,12,5.9,1000,5.8,552.76,32538.76,2219.6
116461912,GB / Ling 22nd Nov,5f Mdn Stks,22-11-2014 12:20,8719464,Dippinganddiving,0,991.252021043,578.33838710745031261099256711086578597,139.182549589211519925253268473995720123,1000,60,1000,560,17.9,1250.78,129.8
116461914,GB / Ling 22nd Nov,7f Cond Stks,22-11-2014 12:55,8775353,Qatar Road,0,11.5,10.0751875032301946136118628107920095873,9.30843886698702157428712869989877099088,13,8,1000,8,841.84,50821.82,2908.52
116461914,GB / Ling 22nd Nov,7f Cond Stks,22-11-2014 12:55,8528941,Four Seasons,1,2.08,2.06881466565267960725735491271214833257,2.77367390407549452749273689644785911486,3,1.91,4,1.01,7647.62,507604.22,121378.68
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,7539768,Genax,0,12.150980312,9.31712236902929256768746725577497761377,6.77937934718882495351886210885136964627,14,5.2,1000,8,1356.76,52508.96,1963.08
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,6516094,Wotalad,0,7.4,6.36101832486760643184618860285788614572,8.07762949803277483448528486501739284742,8.4,5.8,1000,4.9,425.5,62113.04,3973.38
116461920,GB / Ling 22nd Nov,1m Hcap,22-11-2014 14:35,8797734,Santa Teresa,0,3.18007386248511,3.19081703377667921621093847743731865301,3.36308102524254473409098370056490048481,4.1,2.82,1000,2.8,9630.82,300951.2,25630.16
116461924,GB / Ling 22nd Nov,6f Hcap,22-11-2014 15:45,4657159,Reginald Claude,0,10.5,9.86048727549888539440685481113627540116,6.02195148399421996377235851720182482621,12,8,95,9.4,318.8,52716.24,2125.16
116462726,GB / Wolv 22nd Nov,6f Hcap,22-11-2014 17:45,3043251,Macdillon,0,44,27.0756272583101460566073459114710340739,18.0421795117930897447954600502171895912,48,22,700,55,44.68,4972.88,100.44
116462726,GB / Wolv 22nd Nov,6f Hcap,22-11-2014 17:45,7333189,Pensax Lad,0,34,27.5668273903192385764721270723504291838,13.5926294370482547870359604793472642566,40,20,570,85,60.84,6108.08,133.64
116462734,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:45,9011180,Malaf,1,1.78,1.92997985347652059542725328753844869454,3.25206753652923291417509654416722090622,3.35,1.75,1.9,1.01,1778.68,444475.24,70750.56
116462734,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:45,8966065,Parole,0,47.84716680253449,46.0774110206201163867406248459536708676,19.4657814017444501819701862567344142537,60,25,1000,42,18.98,5215.8,298.8
116462728,GB / Wolv 22nd Nov,5f Hcap,22-11-2014 18:15,7327229,Sleepy Sioux,0,12.5,11.4084994496149069847115317298929200174,9.79325435501017605233083563763761350931,15.5,9,34,11.5,260.9,24616.28,519.18
116462736,GB / Wolv 22nd Nov,2m Hcap,22-11-2014 20:15,4054164,Artisan,0,5.7,7.09468811101618033602731317621838404109,8.05644923247994140643240676238928236316,12.5,5.7,200,5,95.96,67626.42,4768.9
116462738,GB / Wolv 22nd Nov,1m Claim Stks,22-11-2014 20:45,5665111,Idyllic Star,0,28,25.6444427683139805866805190279474788172,17.2123480602920833360535129869219616855,38,16.78,1000,13,24.14,13528.54,1080.12
116462738,GB / Wolv 22nd Nov,1m Claim Stks,22-11-2014 20:45,2419612,Toto Skyllachy,0,7.8,6.39716643712106925378416439631841210807,3.39847273255192736785335684503633431917,8,3.25,600,6.2,245.94,62147.22,1930.72
116462740,GB / Wolv 22nd Nov,1m4f Hcap,22-11-2014 21:15,1220025,Bold And Free,0,42,33.2363362313758493394219299190091979265,16.8747151210213736709852134108066097068,60,18.5,1000,44,22,7201.88,169.92
116462740,GB / Wolv 22nd Nov,1m4f Hcap,22-11-2014 21:15,4764322,Aldo,0,6.895421449865098,5.32944499865151447766694652306299246133,8.96720164030780529976958808308875088074,12,4.3,1000,2,319.12,118650,8048.84
116473778,GB / Ascot 22nd Nov,2m6f Nov Hrd,22-11-2014 12:25,8486519,Parish Business,0,5.2,4.98356133485357472412611510568328870493,4.53159980543126227576881324415978081111,5.3,4.2,1000,1.31,4420.08,87234.78,112853.46
116473780,GB / Ascot 22nd Nov,3m Nov Hcap Chs,22-11-2014 13:00,7792120,Minella On Line,0,4,4.0413715257842999381746995255083896777,3.82115001702286645050775795646486422249,4.5,3.45,1000,1.12,3316.64,157814.2,82348.64
116473782,GB / Ascot 22nd Nov,2m6f Hcap Hrd,22-11-2014 13:30,6241412,Iron Butterfly,0,29.753463123182094,23.1878324437266174577776277536198205961,25.0473933488768524870099651917917534917,32,22,1000,17,157.78,12086.94,2231.64
116473782,GB / Ascot 22nd Nov,2m6f Hcap Hrd,22-11-2014 13:30,4804063,Bilidn,0,111.59641448116106,103.627986563883938007236574251248806794,51.6098639934754506652448229277405211909,170,44,690,17,67.42,4134.58,2772.82
116473788,GB / Ascot 22nd Nov,2m1f Hcap Chs,22-11-2014 15:15,5362530,Parsnip Pete,0,20.307336161436556,16.2399626675879434854723104787890298272,10.5176157701139191377637466030905134713,25,9.2,1000,6,965.48,35189.2,4900.48
116473790,GB / Ascot 22nd Nov,2m NHF,22-11-2014 15:50,9016295,Preseli Rock,0,3.6081555287146148,3.21973034012272000529184041002999491589,4.3331287117692582865480936552966549417,4.7,2.9,1000,1.31,344.26,133742.8,70698.7
116475527,GB / Hunt 22nd Nov,3m2f Hcap Hrd,22-11-2014 14:50,6923614,Rising Teal,0,11.390304633849738,10.3270349291096841963358446741389092451,10.5597391672154175778000050136865594266,14.5,10.5,1000,6.8,119.52,17734,12679.46
116475521,GB / Hunt 22nd Nov,2m Nov Hcap Chs,22-11-2014 13:10,7860568,Truckers Steel,0,9.523049795895714,11.187284278270536661624053867372631703,8.06368498990614591664567299539988031105,14,8.6,1000,4.2,281.14,31764.62,20250.38
116475523,GB / Hunt 22nd Nov,2m Hcap Hrd,22-11-2014 13:40,4871393,Watts Up Son,0,15.30582081142813,16.7470900972503032558112873537715396849,18.4257296365149486082106001681694943217,20,13.5,1000,8.4,50.52,13869.74,8253.64
116475525,GB / Hunt 22nd Nov,3m6f Hcap Chs,22-11-2014 14:15,5939694,Soudain,0,3.9,3.69426892929653718962164454455230669763,4.2814875895494405258398575302221532033,4.8,3.45,1000,1.2,1648.36,122268.62,152825.86
116475525,GB / Hunt 22nd Nov,3m6f Hcap Chs,22-11-2014 14:15,4339929,Amroth Bay,1,4.439168640491918,3.86708659327503087258821426655606223666,3.50246932254765637422373717779949242885,4.5,3.25,8.8,1.01,2431.32,174033.02,191257.08
116489672,GB / Daily Win Dist Odds,Ascot,22-11-2014 12:25,2384320,32 - 44 lengths inclusive,0,,3.14678891204444359469931762571311465273,1,1,1001,1,1001,0,54.5,4
116489909,GB / Daily Win Dist Odds,Haydock,22-11-2014 12:10,2384321,More than 44 lengths,0,,3.43001890684083877621175661739429357167,1,1,1001,1,1001,0,116.36,0
116436325,GB / Hayd 22nd Nov,3m1f Hcap Chs,22-11-2014 15:35,3406809,Mister Marker,0,32.74103549152795,26.0170837462683903898337795020932444972,16.8754682467168530755439660731739918492,42,16,1000,16,477.36,16975.34,2132.58
116436325,GB / Hayd 22nd Nov,3m1f Hcap Chs,22-11-2014 15:35,5563114,Shotavodka,0,7.126724921,7.07706106972483608623520660042987618067,8.77080188899984263804233107827708003964,10.79,6.8,1000,4.3,6120.02,104926.68,25826.08
116436325,GB / Hayd 22nd Nov,3m1f Hcap Chs,22-11-2014 15:35,4830032,Renard,0,8.336479654832393,8.13359321219283103524463797979089456759,8.51003838640623983327257012138854514159,10.5,8,1000,2.8,3535.52,91999.82,69154.22
116436319,GB / Hayd 22nd Nov,2m Hrd,22-11-2014 13:50,3751982,Williams Wishes,0,98.10396724567458,81.443860659566665971954616010262677058,53.0672098932559764704953105604097744112,110,44,1000,50,393.74,10780.1,1286.26
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,5251227,Trustan Times,0,31.434527281387858,22.420005054127821574323396487611862298,23.0248386919846983193484899152761720256,38,18.5,1000,29,3846.52,31113.36,2078.88
116436323,GB / Hayd 22nd Nov,3m1f Grd1 Chs,22-11-2014 15:00,3460702,Medermit,0,78.369414385,52.8071195775745388561800949780449676762,38.3029639938907346460168425597854565027,80,30,1000,16,1954.06,13707.56,4760.4
116436323,GB / Hayd 22nd Nov,3m1f Grd1 Chs,22-11-2014 15:00,4360454,Cue Card,0,4,4.55375590350231823105024730462760437648,5.24809091173473675047016022773115504247,6,4,1000,3.1,72277.36,492896.92,92833.96
116461918,GB / Ling 22nd Nov,7f Hcap,22-11-2014 14:00,2055662,Buxton,0,46,43.6367565508227947189953476235765500974,24.5077326455662470923560527322979730176,60,22,1000,38,79,5860.98,420.64
116461910,GB / Ling 22nd Nov,1m Sell Stks,22-11-2014 11:50,8472201,Celestial Vision,0,5.4,4.60098238076140079699927941240478179471,2.92151249330036782187869701812322649463,5.3,2.52,1000,5,5633.58,48963.4,5711.88
116461912,GB / Ling 22nd Nov,5f Mdn Stks,22-11-2014 12:20,8521311,Lady Kyllar,0,44,34.8506497130352553988345708988613741008,23.8762831489329740629481167044368517151,60,27,1000,2.72,116.56,7728.94,4504.56
116461914,GB / Ling 22nd Nov,7f Cond Stks,22-11-2014 12:55,1219592,Super Kid,0,3.940365006,3.64170852447849576786728817768451320927,3.79735920184679393790666460158381441233,4.8,3.35,1000,1.65,8113.44,224256.62,20817.04
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,4955715,Divine Rule,1,11.633682056122137,11.8852215059891863144314888788218630618,14.3197437781346132751808638196277790686,15.5,10.5,9.4,1.01,483.08,32160.7,50772.98
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,7272300,Humour,0,4,4.20348626972386740846918354625571440452,5.31648370509187425571892007929742552061,6.8,3.95,1000,2,3580.78,231515.16,17463.84
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,7219438,Applejack Lad,0,4.975087496102105,4.38412368863855043042206549309198433843,4.72632741644675799781305459075839143795,5.3,4.1,1000,4,3668.58,182798.4,7893.16
116461922,GB / Ling 22nd Nov,5f Hcap,22-11-2014 15:10,3112338,Rocket Rob,0,8.712864620305925,8.13798852555468107150079291656838671239,5.91185975461696733773620275525331504445,9.6,5.5,1000,8.8,1067.18,62403.34,2324.12
116461922,GB / Ling 22nd Nov,5f Hcap,22-11-2014 15:10,5039460,Fair Value,0,9.211874595140142,8.27991224806485189117007178775503879218,7.63182729897086479422403414818274718155,10,6.6,1000,8,4703.76,65640,1902.78
116461922,GB / Ling 22nd Nov,5f Hcap,22-11-2014 15:10,5945809,Pucon,0,13.224135439270032,11.5448504095069304890677233280861030925,11.7860508560899752771181316278497667128,15,11.5,1000,9.2,235.46,19174.36,1713.3
116461924,GB / Ling 22nd Nov,6f Hcap,22-11-2014 15:45,4776161,Saskias Dream,0,33.31277642365807,31.6552901303516858832657924397489945203,14.9884114415659856997199246766927421705,44,18.5,460,3.65,62,8697.62,2763.3
116462726,GB / Wolv 22nd Nov,6f Hcap,22-11-2014 17:45,3235021,Noverre To Go,0,39.09183998480775,26.3196055380926203123253595894955657025,22.205060266201670522191572772775362019,44,24,720,70,42.34,6410.6,107.42
116462728,GB / Wolv 22nd Nov,5f Hcap,22-11-2014 18:15,7294267,Viva Verglas,0,9.6,9.25687808552057813723017799582237590014,14.1755086904508116763381347723511670127,17.5,9,990,6,377.78,33620.82,774.12
116462728,GB / Wolv 22nd Nov,5f Hcap,22-11-2014 18:15,3207345,Bedloes Island,0,77.21023040868342,49.6009455751747839605775439567988709233,24.8645372891963052912323978565197239916,80,24,760,65,73.88,3486.98,39.8
116462728,GB / Wolv 22nd Nov,5f Hcap,22-11-2014 18:15,5513672,Master Bond,0,46.964311733841754,39.037368048786647259784440166271979907,25.1528342037081333574161853538458149223,65,17.41,300,27,102.26,4299.14,181.76
116462730,GB / Wolv 22nd Nov,6f Nursery,22-11-2014 18:45,8680117,Classic Seniority,0,19.747284077,21.7360863777045293042621718107617785401,13.272340480725246981457834184418611334,27,12,1000,10,53.66,15915.22,1443.46
116462732,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:15,8953537,Devonshire Place,0,39.030174394818616,22.4129451705881895366894519816718751231,16.1529427925897882466796020196581177052,42,14,100,42,247.18,15155.88,92.06
116462736,GB / Wolv 22nd Nov,2m Hcap,22-11-2014 20:15,4751790,Eastern Magic,0,9.240635238546417,8.31177016248102616673026347129883584879,7.22077149268128838484834943204862162823,10.5,7.2,23,9,69.2,47735.62,1078.96
116462736,GB / Wolv 22nd Nov,2m Hcap,22-11-2014 20:15,5036820,Delagoa Bay,0,11.494966229744897,10.2940544854156021120949033963027205989,8.27264701006154762369525841784548978413,13,7.6,500,10,54.62,25188.26,1019.44
116462738,GB / Wolv 22nd Nov,1m Claim Stks,22-11-2014 20:45,3806802,Monsieur Chevalier,1,2.88,2.97782391449925645179328620264357586548,5.03440282871213504897045675063874357356,5.99,2.76,4.2,1.01,1594.74,181150.88,43868.5
116462740,GB / Wolv 22nd Nov,1m4f Hcap,22-11-2014 21:15,6942117,Dabuki,0,9.537382889139518,9.15898158919715169832267241675403167351,10.2508165535114571424668787394915405644,15,9.4,1000,10.5,25.14,33222.34,385.62
116473778,GB / Ascot 22nd Nov,2m6f Nov Hrd,22-11-2014 12:25,3970078,Hunt Ball,0,10.314925288455257,9.99809612590691944649248830541433894365,7.91717621572231575852265611750864413852,11,6,1000,7.6,2827.7,37918.58,12854.2
116473782,GB / Ascot 22nd Nov,2m6f Hcap Hrd,22-11-2014 13:30,6440305,Spartan Angel,0,8.4,7.954036416279783942654160482576448095,5.64644590891600073216574808598792361626,10,5.29,1000,4.2,1562.82,52943.58,12715.72
116473782,GB / Ascot 22nd Nov,2m6f Hcap Hrd,22-11-2014 13:30,7943514,Gaye Memories,0,20,15.3597702397167379262087384175215612028,17.9594680060085171677133875110974484009,22,14,1000,15,357.8,17655.08,1567.86
116473784,GB / Ascot 22nd Nov,2m3f Grd2 Chs,22-11-2014 14:05,3365259,Wishfull Thinking,0,5.9,5.24758090905156839844762075854319510351,4.45645641657464509131192904628696337546,6.2,3.85,1000,4.3,34400.26,226670.82,29884.74
116473788,GB / Ascot 22nd Nov,2m1f Hcap Chs,22-11-2014 15:15,3164912,Lancetto,0,12,11.4115903203859904485268098667363752741,14.767365880511086956450702562085032923,17.5,11,1000,6.4,1352.64,42691.18,5247.34
116473788,GB / Ascot 22nd Nov,2m1f Hcap Chs,22-11-2014 15:15,4702291,Grey Gold,0,7.4,7.71371984717084541530223916381542387728,8.7114806711449627123049946999408951174,9.8,7.4,990,7.4,1382.7,95447.84,4724.6
116473788,GB / Ascot 22nd Nov,2m1f Hcap Chs,22-11-2014 15:15,6147174,Ulck Du Lin,0,7,6.50079924402712873692192375135240742823,6.24284206220576167201681138772080757955,7.4,5,900,3.3,11225.48,135955.5,26339.02
116473790,GB / Ascot 22nd Nov,2m NHF,22-11-2014 15:50,8977680,Georgieshore,0,40,46.1486265095708898625090494845580007763,31.8524732885056559580369673960463579437,90,30,1000,26,58,7030.98,3207.96
116475527,GB / Hunt 22nd Nov,3m2f Hcap Hrd,22-11-2014 14:50,6968719,Agesilas,0,20,16.7162407130180647858532482350403658839,24.1133456479682585351459300970838202437,26,19.5,1000,17,10.04,9665.2,2349.02
116475527,GB / Hunt 22nd Nov,3m2f Hcap Hrd,22-11-2014 14:50,8006516,Amberjam,1,4.9,4.49240980141417826263914853923720587374,5.08836377324131105339075295827663851273,5.4,4.2,14,1.01,1224.36,87861.68,158535.78
116475517,GB / Hunt 22nd Nov,2m4f Nov Hrd,22-11-2014 12:00,8397427,Polly Wiggle,0,135.0031306908844,140.779523911098984846754632007203372295,94.7085498768717494079126259801514667725,230,70,1000,90,57.4,3973.42,450.32
116475519,GB / Hunt 22nd Nov,2m Nov Hcap Hrd,22-11-2014 12:35,7281445,Make Me A Fortune,0,2.5909984627217675,2.73007670731675321684463409665122411004,4.90282450977996665242204484415886809217,5.3,2.48,1000,1.53,1067.42,244591.64,88727.58
116475525,GB / Hunt 22nd Nov,3m6f Hcap Chs,22-11-2014 14:15,5498650,De La Bech,0,3.4,3.48604436159440611079293228361332407908,4.3229151229298683279720055469219085288,4.6,3.35,1000,2.16,1872.3,164858.4,86351.32
116475529,GB / Hunt 22nd Nov,1m6f NHF,22-11-2014 15:25,8421838,Remedio,0,230,233.352233028722817344336151377105702212,80.1381845700459631456054398112107308258,330,85,700,75,10,1111.98,564.46
116475529,GB / Hunt 22nd Nov,1m6f NHF,22-11-2014 15:25,8993384,Joe Farrell,1,3.52110368188967,2.95901564318064358722199630758478980995,3.02644678471214901646594096111067191536,3.55,2.48,5.2,1.01,3558.68,169801.14,95400.1
116475529,GB / Hunt 22nd Nov,1m6f NHF,22-11-2014 15:25,9016300,Ballochmyle,0,4.963490695659784,4.43827590561945819051914859554513841834,7.63584340744784503335417769603056470625,7,4.1,1000,4,41.7,79972.82,14124.62
116489909,GB / Daily Win Dist Odds,Haydock,22-11-2014 12:10,2384320,32 - 44 lengths inclusive,0,,3,1,1,1001,1,1001,0,28.3,0
116436315,GB / Hayd 22nd Nov,3m5f Hcap Chs,22-11-2014 12:45,6053793,Loughalder,0,25.196082359622444,24.1455891578614900788732384798546830169,23.4543634110774086158639311573266680069,32,21.85,1000,22,395.86,10716.86,2936.86
116436317,GB / Hayd 22nd Nov,2m4f Hcap Hrd,22-11-2014 13:15,7772383,On Tour,1,9.221619589,8.66110129140975239180462731884076431019,6.80045611031016922822076166848591538551,10.5,5.83,11.5,1.01,4327.26,50864.36,117094.92
116436317,GB / Hayd 22nd Nov,2m4f Hcap Hrd,22-11-2014 13:15,7860559,Emral Silk,0,22.712632347,16.7125784545439500125920894394706519626,19.8395027723039534078040839201053069705,28,14.5,1000,4.4,1145.02,18809.82,6023.96
116436317,GB / Hayd 22nd Nov,2m4f Hcap Hrd,22-11-2014 13:15,5703104,Lyvius,0,24.024825987613152,16.3875771943980588256146328511521928265,15.3233717693806111631942007249025580366,26,13.61,1000,5.6,1148.02,27127.94,6547.4
116436325,GB / Hayd 22nd Nov,3m1f Hcap Chs,22-11-2014 15:35,3828001,Midnight Appeal,0,7.866917529370304,7.10184134280425848762769143266261827321,6.90759467036875804010833651669235189875,8.8,6.47,1000,1.25,5166.88,117303.14,64868.68
116436325,GB / Hayd 22nd Nov,3m1f Hcap Chs,22-11-2014 15:35,5300500,Pinerolo,0,17.843688177383477,13.5868550094154205434600561561215292671,11.5582224898996112186360094904696255582,21,10.34,1000,15,1682.36,33315.58,2630.34
116436313,GB / Hayd 22nd Nov,2m Hcap Hrd,22-11-2014 12:10,6799861,Vasco Du Ronceray,1,3.276269116229023,3.2536731100336923336536105784532325231,3.41282016321948182936514281499556742827,3.64,3.05,3.45,1.01,8743.64,230015.38,140993.16
116436313,GB / Hayd 22nd Nov,2m Hcap Hrd,22-11-2014 12:10,3323935,Mohawk Ridge,0,12.5,13.0273976780780915047570090450168316362,15.4961288535153898580295308797735624733,17.5,11.5,1000,7,642.6,17363.84,4978.38
116436319,GB / Hayd 22nd Nov,2m Hrd,22-11-2014 13:50,5959467,The New One,1,1.35,1.34420615595965448960391239481549153098,1.33041994860443057827790100099390870762,1.38,1.3,1.42,1.01,96200.26,1217032.26,240676
116436319,GB / Hayd 22nd Nov,2m Hrd,22-11-2014 13:50,6449137,Zamdy Man,0,12.654091628566995,14.4136286248502642730738412114895548729,19.5119543387163929522221511170967698425,23.33,12,1000,9,3036.02,72228.2,19621.86
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,2607371,Aubusson,1,11.352463671110403,11.5128517184780233978687492366468946985,14.2176919311711221276583110459302095079,17,10.5,15,1.01,5204.64,78263,166450.16
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,3406799,Araldur,0,62.19717824487016,43.3149192653824387049228183535453604113,43.2713581629845794564330798797398214906,65,36,1000,38,1971.98,11543.58,1652.86
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,5975903,Katkeau,0,7.2,7.83050390455241248780489025255202481394,8.41351367928899388049400896602524898226,9.6,6.8,1000,2.1,17974.56,152595.76,37119.06
116461918,GB / Ling 22nd Nov,7f Hcap,22-11-2014 14:00,6551254,Daneglow,0,163.6183161008577,99.7080858156514309898232105457285335031,46.5084725219307934007792297293042470519,170,50,1000,140,32.3,3234.9,228.26
116461910,GB / Ling 22nd Nov,1m Sell Stks,22-11-2014 11:50,8669171,Auld Fyffee,0,9.513921362739442,10.2761252736888415691702643584243799403,8.08977585606575172546108116534042752857,11.5,8.2,1000,6,626,13153.78,1804.96
116461914,GB / Ling 22nd Nov,7f Cond Stks,22-11-2014 12:55,5437042,Vimy Ridge,0,142.802524133,97.8267367238152026919102894340512694972,56.4121807272431094282974585926483892476,200,42,700,5,91.9,4684.22,1575.86
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,5107043,Play The Blues,0,60.02740608018415,52.5740724228403273346676220044734119005,33.4328218909072306759617765587903579155,85,38,1000,20,65.36,5791.74,1210.94
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,3409581,Jonnie Skull,0,46.874109824,50.153563279800474059624735355665678094,23.361290512000223147544341231967639996,75,25,1000,32,113.46,6763.5,922.36
116461922,GB / Ling 22nd Nov,5f Hcap,22-11-2014 15:10,5580086,Roys Legacy,0,37.97443133542299,30.0136342280589970050851515824040901835,15.7722214883946631274464778561946363339,42,16,1000,22,202.28,9870.56,244.38
116461924,GB / Ling 22nd Nov,6f Hcap,22-11-2014 15:45,5658075,Captain Kendall,0,29.30431814474978,28.7700612601828031975536041847176137062,21.0129329620215214117875694722037327252,40,19.5,100,16,67.44,9191.58,678.76
116461924,GB / Ling 22nd Nov,6f Hcap,22-11-2014 15:45,6204227,Compton Prince,0,31.210424295,26.5807412159514846615509073552098161171,18.2957657057414748329007096008795432571,38,23,660,40,47.04,8025.4,346.74
116462734,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:45,8890501,Putting Green,0,30,30.7501720290269131813291889531965047891,13.8687697420364986801563903838135354746,48,24,100,4,20.2,7982.66,3062.78
116462734,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:45,8893250,Borak,0,13.666265182115238,12.3911372559628130345243808409924122378,6.57237697948774170995365213124788897397,15,9.8,1000,3.2,154.56,21790.1,4090.36
116462728,GB / Wolv 22nd Nov,5f Hcap,22-11-2014 18:15,4979206,Even Stevens,0,8.688681391870015,7.06415854758289945774848310973453675595,6.21050162666780707302658496116524009941,9.4,5.71,1000,2,697.72,50085.96,8335.16
116462736,GB / Wolv 22nd Nov,2m Hcap,22-11-2014 20:15,7860590,Hallouella,0,4.538114462305966,4.94663681896490856317354948951592221452,8.1501726072919545382509878751782102528,8,4.3,1000,3,28.92,151216.16,10814.42
116462740,GB / Wolv 22nd Nov,1m4f Hcap,22-11-2014 21:15,7344964,Cascadia,0,12,10.2339761030121477612084223193822278073,7.84131923609242595844330190912454082734,14.5,8.2,1000,4.3,44.32,31778.02,3762.72
